id,platform_product_id,available,checked_at
1,develop,false,election
2,experience,true,know
3,air,false,child
4,behavior,true,event
5,store,true,place
6,such,true,use
7,few,false,behind
8,strategy,true,price
9,family,false,particularly
10,exist,true,find
11,effect,true,describe
12,part,false,tax
13,guy,true,director
14,trouble,false,wait
15,operation,false,feel
16,charge,true,board
17,real,false,cause
18,important,true,later
19,both,true,star
20,stock,true,turn
21,law,true,home
22,ability,false,church
23,which,false,spend
24,anything,false,people
25,real,false,him
26,red,false,fear
27,interesting,true,store
28,four,false,find
29,along,false,meeting
30,tough,false,site
31,require,true,national
32,effect,false,develop
33,eye,true,start
34,interesting,true,interest
35,and,true,cost
36,before,false,later
37,behind,true,matter
38,tree,true,sense
39,yes,false,final
40,machine,false,fire
41,hot,false,recognize
42,here,true,tend
43,check,true,age
44,heart,true,family
45,high,false,animal
46,thank,true,nice
47,friend,false,hope
48,continue,false,Democrat
49,choice,false,indeed
50,rate,false,various
51,public,true,walk
52,low,true,watch
53,picture,false,both
54,bag,true,player
55,gas,false,attorney
56,approach,false,behind
57,remain,true,thank
58,poor,true,actually
59,early,true,test
60,thank,true,but
61,especially,false,medical
62,main,true,deep
63,center,true,send
64,building,false,measure
65,thank,true,carry
66,suffer,false,college
67,apply,true,although
68,know,true,base
69,candidate,false,pretty
70,party,false,often
71,career,false,identify
72,environment,false,wrong
73,boy,true,guy
74,might,false,good
75,happy,true,south
76,without,false,pretty
77,eat,true,box
78,media,true,fine
79,success,true,mention
80,others,true,market
81,consider,true,decade
82,reflect,false,difficult
83,ago,false,sell
84,raise,true,heavy
85,image,false,but
86,talk,true,specific
87,traditional,false,protect
88,third,true,Democrat
89,data,true,around
90,bill,true,loss
91,pull,false,its
92,treat,true,there
93,she,true,myself
94,skill,true,other
95,your,false,trip
96,prepare,true,step
97,next,true,continue
98,common,true,stock
99,lead,false,realize
100,feel,true,human
101,bar,false,sure
102,land,true,certain
103,first,false,rich
104,again,false,leg
105,create,false,owner
106,down,true,and
107,hot,true,near
108,wish,false,reality
109,color,true,leave
110,remember,true,down
111,somebody,false,subject
112,direction,false,view
113,the,false,today
114,sit,true,away
115,stay,true,theory
116,TV,true,sometimes
117,campaign,false,then
118,none,false,six
119,rather,true,here
120,tough,false,social
121,color,true,growth
122,thought,true,nature
123,perform,false,beat
124,rule,true,matter
125,including,false,both
126,take,true,everything
127,relate,false,rule
128,catch,true,structure
129,animal,true,our
130,response,true,feeling
131,thousand,true,rather
132,make,false,relationship
133,year,true,they
134,right,true,system
135,quality,true,newspaper
136,west,false,exist
137,name,false,person
138,live,false,life
139,including,true,culture
140,learn,true,yeah
141,people,false,play
142,account,false,spring
143,specific,true,section
144,recently,true,race
145,safe,false,compare
146,true,true,short
147,ground,false,list
148,after,true,high
149,number,false,institution
150,discover,false,group
151,create,true,technology
152,type,false,subject
153,lose,false,hard
154,carry,true,real
155,read,true,huge
156,question,true,buy
157,nature,true,huge
158,government,true,involve
159,big,false,study
160,particularly,true,who
161,usually,false,away
162,military,false,peace
163,nearly,false,forward
164,blue,true,religious
165,strategy,true,point
166,college,false,suffer
167,charge,false,media
168,total,true,support
169,job,true,make
170,southern,false,all
171,near,true,candidate
172,news,true,serve
173,over,false,us
174,stock,false,per
175,go,false,west
176,such,true,yet
177,shake,true,truth
178,sell,false,hour
179,PM,false,factor
180,medical,true,help
181,her,true,police
182,child,false,along
183,city,true,fight
184,camera,false,away
185,back,true,plant
186,when,false,anyone
187,manage,false,season
188,bank,false,simple
189,occur,false,agreement
190,hope,true,discussion
191,management,true,few
192,off,false,finally
193,education,true,hard
194,term,true,blood
195,example,true,responsibility
196,it,true,happen
197,himself,true,staff
198,together,true,world
199,image,false,room
200,including,true,send
