id,cart_id,product_id,quantity
1,practice,rest,353.79
2,care,shoulder,452.36
3,teach,federal,484.74
4,job,newspaper,333.3
5,certainly,own,129.92
6,report,law,72.26
7,notice,hope,348.18
8,often,side,142.37
9,training,my,59.5
10,production,sea,328.58
11,process,agree,174.14
12,half,business,140.36
13,think,public,276.26
14,right,very,295.85
15,speech,toward,190.05
16,but,six,189.56
17,represent,feeling,126.68
18,represent,represent,52.61
19,break,add,321.34
20,second,opportunity,217.06
21,carry,design,72.52
22,challenge,song,64.32
23,whether,media,395.06
24,game,particularly,332.46
25,house,your,61.31
26,eight,child,86.34
27,short,hear,318.33
28,imagine,senior,472.73
29,edge,stay,42.1
30,lawyer,certainly,374.7
31,economy,none,333.68
32,fund,campaign,168.14
33,score,buy,177.83
34,among,include,150.07
35,early,deal,54.67
36,language,plan,441.68
37,especially,just,213.33
38,since,fund,149.52
39,create,worry,335.28
40,wear,despite,92.29
41,assume,difference,342.97
42,term,billion,44.51
43,baby,recently,316.92
44,several,goal,329.66
45,individual,can,470.59
46,nor,minute,187.97
47,world,camera,474.43
48,least,question,295.33
49,vote,skin,73.8
50,fact,let,170.22
51,today,year,137.09
52,important,field,134.0
53,size,least,159.25
54,hot,also,210.8
55,hour,store,257.39
56,may,simply,380.8
57,against,deal,84.35
58,continue,begin,483.92
59,peace,yard,419.01
60,card,design,25.02
61,effect,air,475.68
62,leave,respond,220.22
63,speak,none,158.7
64,until,rock,257.06
65,a,team,252.32
66,field,wish,62.05
67,reality,more,145.34
68,action,near,215.06
69,past,every,129.06
70,far,sing,193.41
71,role,start,99.54
72,present,property,95.31
73,tonight,business,272.66
74,system,evening,156.86
75,remain,Republican,32.55
76,head,moment,108.0
77,message,vote,480.55
78,wear,table,353.14
79,course,affect,105.61
80,call,free,368.89
81,thing,seem,192.78
82,real,challenge,245.47
83,will,real,65.39
84,team,evidence,487.76
85,different,become,198.13
86,less,center,213.18
87,notice,friend,324.66
88,decision,garden,326.79
89,attorney,city,271.74
90,wonder,soldier,19.63
91,consumer,skin,439.16
92,institution,strategy,229.55
93,phone,television,108.22
94,experience,race,325.67
95,air,daughter,115.43
96,go,camera,208.21
97,modern,probably,210.37
98,add,top,73.49
99,himself,clearly,94.28
100,picture,plan,257.48
101,need,behavior,15.17
102,TV,leader,472.87
103,idea,country,445.62
104,writer,alone,461.45
105,raise,give,402.04
106,often,heavy,67.14
107,eye,save,144.92
108,money,nation,262.11
109,behind,ok,319.0
110,structure,body,334.08
111,authority,until,323.31
112,minute,government,296.33
113,next,investment,178.39
114,popular,member,389.76
115,government,happy,384.15
116,hair,value,102.44
117,someone,site,90.67
118,outside,success,295.86
119,understand,ago,313.22
120,government,result,438.83
121,actually,early,321.23
122,attention,necessary,401.16
123,few,someone,371.65
124,activity,whatever,373.46
125,own,official,454.18
126,mission,start,304.78
127,that,radio,165.38
128,message,must,44.78
129,single,before,82.95
130,news,election,464.08
131,thing,price,280.17
132,mission,hospital,216.82
133,key,hold,381.31
134,it,collection,94.46
135,than,consumer,499.11
136,four,better,422.98
137,many,quite,440.39
138,window,bed,57.41
139,me,raise,144.08
140,or,life,126.69
141,center,science,242.6
142,senior,former,66.09
143,forward,onto,206.21
144,ten,see,120.91
145,west,least,18.69
146,enjoy,material,348.48
147,cultural,debate,219.99
148,item,although,141.56
149,receive,south,66.31
150,brother,be,292.05
151,now,type,428.83
152,himself,drop,187.35
153,read,against,437.26
154,agency,as,351.52
155,heavy,score,123.71
156,leave,either,475.42
157,wind,bank,69.54
158,event,level,322.32
159,once,fine,114.66
160,build,seven,435.78
161,maintain,share,341.39
162,goal,student,499.32
163,thus,American,119.95
164,possible,these,128.14
165,imagine,pick,491.74
166,realize,impact,51.88
167,business,analysis,386.69
168,current,chance,244.41
169,learn,president,227.11
170,ever,wish,82.85
171,address,never,183.75
172,east,little,108.08
173,kitchen,face,49.26
174,blood,office,65.61
175,gas,Mrs,437.32
176,clear,fire,9.49
177,experience,food,134.74
178,size,tell,219.4
179,discussion,law,180.11
180,five,police,220.89
181,skin,very,336.92
182,agree,account,106.54
183,meeting,source,350.75
184,ready,different,393.34
185,as,ever,9.25
186,analysis,image,188.15
187,really,main,101.72
188,goal,talk,101.11
189,finish,pattern,130.05
190,once,until,173.86
191,especially,north,482.08
192,beyond,entire,141.15
193,natural,later,378.47
194,check,character,147.61
195,financial,to,133.23
196,law,information,282.91
197,start,society,333.9
198,interview,social,215.85
199,rather,memory,473.17
200,hair,want,78.11
