id,platform_id,slot_start,slot_end
1,knowledge,during,purpose
2,wind,administration,market
3,prepare,must,beyond
4,year,side,measure
5,activity,same,stage
6,price,eat,already
7,attack,nature,after
8,job,build,heavy
9,north,site,late
10,enter,question,phone
11,reason,there,able
12,decision,reveal,one
13,future,look,party
14,everyone,authority,practice
15,name,military,song
16,church,close,commercial
17,hit,treatment,TV
18,nearly,bill,firm
19,sing,yeah,avoid
20,measure,board,describe
21,clear,guess,who
22,up,would,another
23,democratic,participant,class
24,sign,total,resource
25,improve,letter,score
26,watch,city,view
27,follow,media,baby
28,onto,management,ever
29,have,guy,many
30,old,direction,third
31,agree,decide,inside
32,manager,admit,which
33,first,pretty,prove
34,minute,western,crime
35,camera,soon,wrong
36,close,would,item
37,involve,religious,general
38,daughter,situation,oil
39,condition,fine,treatment
40,forward,executive,college
41,significant,later,face
42,collection,worker,modern
43,situation,half,energy
44,environmental,political,man
45,important,report,check
46,generation,paper,leave
47,such,cause,manager
48,wind,challenge,clear
49,me,ten,mention
50,writer,third,movement
51,production,consider,air
52,safe,course,financial
53,check,defense,life
54,plant,develop,economic
55,year,break,me
56,without,despite,policy
57,operation,once,plant
58,wide,character,free
59,member,mother,process
60,that,natural,after
61,whose,store,themselves
62,trip,hand,job
63,design,until,teacher
64,guess,federal,have
65,close,enough,shake
66,affect,long,heavy
67,important,garden,before
68,visit,shoulder,career
69,something,increase,experience
70,remain,out,spend
71,reveal,class,because
72,along,sing,police
73,live,rest,lay
74,traditional,region,son
75,big,station,could
76,simply,culture,also
77,kitchen,power,open
78,travel,amount,evening
79,white,manage,continue
80,send,after,clear
81,sit,many,future
82,management,away,even
83,imagine,sense,actually
84,degree,future,us
85,money,back,poor
86,certainly,reveal,house
87,yet,security,some
88,traditional,anyone,theory
89,there,far,like
90,card,go,question
91,again,PM,imagine
92,four,wish,miss
93,water,through,he
94,today,none,he
95,guess,force,push
96,example,save,ready
97,want,their,coach
98,big,spring,wish
99,star,live,air
100,question,big,her
101,maintain,sit,goal
102,risk,hand,building
103,water,mention,event
104,reality,matter,five
105,conference,watch,and
106,research,provide,walk
107,shake,high,all
108,general,opportunity,heart
109,during,star,later
110,development,culture,outside
111,these,defense,recognize
112,make,night,along
113,owner,audience,management
114,free,writer,experience
115,brother,among,two
116,arrive,difference,force
117,father,citizen,quality
118,themselves,administration,religious
119,field,too,during
120,society,where,seat
121,take,to,difficult
122,hand,away,summer
123,southern,argue,large
124,also,sound,hear
125,reduce,gas,street
126,marriage,how,dream
127,expect,its,air
128,its,particular,lay
129,special,plan,capital
130,program,health,whole
131,science,age,finally
132,born,even,claim
133,ever,allow,spring
134,heavy,make,else
135,site,century,ok
136,data,wear,indicate
137,quality,box,property
138,success,early,red
139,involve,threat,blue
140,face,result,success
141,various,store,ball
142,style,their,he
143,surface,letter,believe
144,at,purpose,mouth
145,trouble,big,offer
146,official,result,apply
147,town,able,shoulder
148,structure,unit,recognize
149,throughout,leave,place
150,increase,lose,time
151,technology,college,manage
152,from,thank,research
153,clearly,involve,why
154,from,trip,but
155,ground,successful,say
156,raise,near,TV
157,particular,form,up
158,son,party,blue
159,thousand,woman,then
160,city,threat,product
161,social,nothing,check
162,set,individual,red
163,fight,speak,amount
164,his,significant,western
165,option,suggest,reach
166,common,center,avoid
167,as,sister,last
168,thing,difference,trouble
169,either,skin,difficult
170,boy,hotel,although
171,deal,understand,cause
172,miss,every,central
173,stop,open,figure
174,look,would,who
175,whole,each,around
176,suddenly,find,theory
177,already,write,cost
178,how,those,staff
179,wall,significant,generation
180,modern,firm,simple
181,short,new,prove
182,girl,happy,fight
183,professor,nature,painting
184,meet,meet,tend
185,above,audience,help
186,night,series,listen
187,allow,second,again
188,help,war,model
189,health,blue,group
190,place,finally,himself
191,tax,factor,federal
192,middle,spend,analysis
193,compare,would,medical
194,challenge,worker,city
195,Mr,research,enjoy
196,small,piece,simple
197,effort,worker,half
198,true,pretty,staff
199,group,true,anything
200,education,artist,affect
