id,user_id,method_type,last_used
1,worry,cell,as
2,word,quickly,water
3,writer,positive,shake
4,involve,them,serve
5,another,edge,establish
6,government,direction,various
7,finally,security,require
8,item,strong,idea
9,tell,scientist,attention
10,maintain,cut,political
11,particularly,discussion,my
12,research,fall,director
13,cut,help,break
14,live,difficult,in
15,kind,evidence,court
16,building,land,interesting
17,price,even,free
18,participant,plant,race
19,side,college,person
20,while,option,talk
21,cup,for,risk
22,trade,car,course
23,kind,money,indicate
24,force,according,these
25,recently,live,act
26,instead,loss,society
27,receive,suffer,nearly
28,watch,official,pattern
29,Mr,lose,rich
30,edge,thank,artist
31,not,rule,computer
32,father,story,prevent
33,simply,election,ground
34,go,production,owner
35,television,fine,compare
36,technology,church,writer
37,throughout,whether,push
38,art,huge,similar
39,reason,under,although
40,campaign,necessary,just
41,discover,catch,realize
42,provide,common,decision
43,break,player,almost
44,under,onto,whether
45,rise,answer,long
46,chair,minute,thousand
47,according,kind,today
48,task,however,those
49,feeling,expect,just
50,Congress,story,color
51,will,floor,feeling
52,score,could,girl
53,thought,employee,southern
54,game,sort,top
55,customer,family,goal
56,dog,answer,difference
57,travel,call,thank
58,peace,own,conference
59,admit,feeling,way
60,piece,watch,beyond
61,indeed,deep,affect
62,authority,condition,experience
63,education,several,surface
64,rise,amount,statement
65,leg,quite,tree
66,own,game,perhaps
67,thing,table,without
68,push,beat,window
69,vote,dream,voice
70,company,successful,its
71,already,represent,against
72,also,art,manage
73,your,be,including
74,great,ever,hear
75,whose,send,page
76,prevent,leave,letter
77,somebody,support,step
78,town,cell,wait
79,lead,even,use
80,center,federal,note
81,mother,study,fact
82,success,hotel,year
83,plan,behind,space
84,bed,risk,court
85,heart,big,site
86,much,pattern,enter
87,difference,impact,trip
88,sister,do,while
89,hard,question,necessary
90,make,effect,home
91,individual,heavy,billion
92,their,really,garden
93,explain,she,particularly
94,assume,idea,allow
95,end,most,ahead
96,join,first,computer
97,seek,claim,forget
98,no,treatment,arm
99,affect,seek,task
100,season,foot,product
101,first,they,certainly
102,let,partner,mind
103,spring,color,exactly
104,same,response,exist
105,enjoy,meeting,help
106,event,create,series
107,factor,responsibility,item
108,city,economy,teacher
109,system,adult,health
110,shake,price,point
111,with,sell,store
112,local,simple,whether
113,else,step,network
114,them,senior,again
115,though,just,accept
116,card,issue,ok
117,remain,institution,young
118,across,vote,garden
119,present,country,administration
120,friend,people,character
121,visit,a,rise
122,bad,study,cut
123,yourself,expect,as
124,want,sister,cover
125,commercial,sense,us
126,environmental,piece,official
127,site,feeling,throughout
128,guy,official,his
129,through,fund,fire
130,process,difficult,character
131,capital,over,cause
132,war,government,hit
133,serve,ten,business
134,happy,follow,population
135,run,continue,sometimes
136,such,example,follow
137,himself,he,keep
138,resource,dog,senior
139,house,either,city
140,design,price,add
141,term,matter,reality
142,customer,next,production
143,save,only,remember
144,want,situation,such
145,something,report,western
146,letter,war,item
147,general,thing,mother
148,expert,grow,color
149,eat,clearly,push
150,other,admit,moment
151,daughter,game,people
152,certain,attention,between
153,the,down,perhaps
154,resource,participant,contain
155,individual,her,that
156,weight,man,order
157,near,debate,responsibility
158,west,show,rock
159,poor,center,young
160,year,mother,might
161,believe,alone,cost
162,evening,reflect,of
163,economy,improve,anyone
164,design,nothing,country
165,future,no,window
166,professional,though,nice
167,later,property,break
168,so,current,though
169,right,about,trouble
170,trouble,plant,music
171,six,goal,could
172,author,power,because
173,possible,my,change
174,action,machine,tax
175,bed,executive,final
176,provide,require,people
177,teach,may,between
178,kitchen,age,agree
179,money,commercial,which
180,leave,top,but
181,interesting,old,each
182,represent,reach,society
183,middle,understand,three
184,course,provide,campaign
185,thought,experience,office
186,development,page,PM
187,skill,skill,talk
188,treat,recognize,economic
189,product,understand,one
190,ok,political,issue
191,similar,event,heart
192,southern,case,defense
193,newspaper,create,couple
194,kind,camera,remain
195,performance,race,bag
196,machine,alone,government
197,fly,answer,social
198,group,a,decide
199,worry,story,middle
200,personal,positive,decide
