id,platform_id,product_id,sku
1,responsibility,suddenly,computer
2,method,until,staff
3,than,say,two
4,save,land,above
5,so,others,where
6,then,impact,run
7,knowledge,catch,none
8,court,relationship,movement
9,political,see,fish
10,huge,like,should
11,exactly,sport,stand
12,above,there,door
13,travel,yourself,suggest
14,and,executive,stuff
15,look,leg,statement
16,focus,public,explain
17,mind,music,run
18,thus,able,range
19,line,new,energy
20,instead,catch,painting
21,anyone,group,once
22,produce,social,right
23,few,because,reason
24,edge,kitchen,phone
25,key,son,stop
26,hear,their,agent
27,partner,forget,collection
28,us,seat,friend
29,magazine,same,computer
30,exactly,soon,parent
31,relationship,student,foot
32,site,media,either
33,policy,conference,identify
34,hit,majority,perhaps
35,pretty,American,provide
36,contain,value,return
37,fish,gun,deep
38,often,focus,about
39,green,water,authority
40,director,true,large
41,talk,send,end
42,price,near,doctor
43,everybody,name,see
44,clear,pattern,world
45,forward,will,operation
46,pick,up,do
47,physical,include,check
48,support,somebody,structure
49,peace,economy,pick
50,change,wait,condition
51,describe,decide,we
52,hold,garden,doctor
53,baby,either,stuff
54,throughout,policy,staff
55,movement,last,analysis
56,doctor,change,deal
57,exist,goal,sit
58,college,employee,cold
59,stock,possible,lead
60,record,exactly,or
61,energy,moment,card
62,nice,condition,worker
63,add,tough,crime
64,industry,everything,policy
65,newspaper,discover,they
66,never,people,kid
67,pay,will,create
68,hour,page,performance
69,money,debate,drug
70,worker,fear,kid
71,table,especially,today
72,pattern,sea,board
73,may,stage,onto
74,measure,teacher,night
75,everyone,early,point
76,husband,ball,past
77,shoulder,they,expect
78,across,high,among
79,service,medical,when
80,person,movement,teach
81,political,itself,section
82,policy,floor,success
83,nothing,defense,still
84,before,cost,both
85,rich,the,within
86,only,fill,itself
87,coach,part,own
88,black,hear,more
89,final,within,animal
90,agreement,else,east
91,cultural,hour,sea
92,relationship,serve,theory
93,campaign,add,among
94,learn,product,popular
95,near,effect,region
96,beautiful,ok,explain
97,best,late,everyone
98,person,forward,beat
99,condition,available,establish
100,subject,century,little
101,science,left,here
102,change,ok,example
103,friend,conference,car
104,how,sound,bed
105,possible,involve,partner
106,consider,seek,history
107,modern,business,talk
108,rise,wrong,institution
109,late,want,scene
110,practice,direction,first
111,cold,voice,maintain
112,capital,also,east
113,TV,administration,somebody
114,magazine,behavior,edge
115,maintain,drug,yeah
116,challenge,parent,lot
117,picture,woman,laugh
118,sense,issue,nation
119,east,increase,author
120,cost,strong,top
121,believe,money,nothing
122,lawyer,recent,difficult
123,become,sign,environment
124,must,stop,ahead
125,raise,serious,economy
126,rather,more,dog
127,other,nature,American
128,majority,material,when
129,boy,edge,body
130,bad,his,visit
131,force,bank,size
132,believe,star,art
133,night,serve,teacher
134,different,everything,sing
135,institution,seem,art
136,compare,expert,size
137,training,measure,where
138,treat,age,law
139,born,nature,control
140,generation,rate,wear
141,director,carry,what
142,position,education,call
143,his,while,born
144,field,look,involve
145,third,son,man
146,pressure,stock,discover
147,toward,join,money
148,rate,continue,center
149,yard,note,ball
150,power,fish,again
151,culture,weight,agency
152,billion,stand,view
153,bad,page,science
154,color,end,voice
155,himself,range,without
156,similar,son,consumer
157,important,share,speech
158,draw,well,order
159,catch,five,dinner
160,fact,among,sing
161,art,land,surface
162,would,lose,lawyer
163,threat,actually,audience
164,common,campaign,miss
165,success,write,population
166,may,matter,movement
167,war,particularly,all
168,stuff,foreign,stuff
169,admit,plant,fall
170,line,single,Mr
171,win,ask,happy
172,collection,statement,book
173,same,drug,girl
174,month,same,onto
175,administration,one,day
176,like,deep,artist
177,receive,catch,quite
178,list,act,them
179,test,natural,deep
180,live,stand,newspaper
181,despite,bank,compare
182,page,into,plan
183,leave,share,billion
184,attack,generation,thank
185,apply,yeah,young
186,list,article,arm
187,trouble,brother,make
188,hit,only,concern
189,value,nice,when
190,address,material,rate
191,push,participant,behavior
192,rate,activity,develop
193,reflect,soon,say
194,consider,against,ahead
195,none,realize,stand
196,recognize,house,away
197,campaign,personal,ever
198,glass,size,nothing
199,beat,realize,rest
200,represent,position,boy
