id,platform_id,response_time_ms,checked_at
1,knowledge,2025-04-14T17:33:14,director
2,wind,2025-01-21T09:27:24,onto
3,group,2025-05-10T15:14:12,case
4,worry,2025-05-16T01:24:07,month
5,practice,2025-01-06T19:06:47,loss
6,matter,2025-04-21T07:57:59,everyone
7,huge,2025-03-10T08:21:15,possible
8,until,2025-06-14T16:04:05,daughter
9,then,2025-02-22T22:50:51,law
10,rest,2025-02-21T03:01:41,what
11,say,2025-03-22T08:45:59,right
12,if,2025-05-02T18:38:51,interesting
13,government,2025-06-15T12:05:26,from
14,situation,2025-04-19T06:35:08,total
15,TV,2025-06-17T12:50:36,tonight
16,prove,2025-07-06T05:25:00,girl
17,democratic,2025-03-20T08:12:12,sort
18,us,2025-05-06T16:32:20,wear
19,look,2025-04-01T06:42:48,local
20,key,2025-07-11T02:48:03,against
21,hear,2025-01-19T21:47:16,idea
22,cell,2025-06-26T23:52:18,community
23,enjoy,2025-05-23T03:21:45,amount
24,value,2025-02-14T16:47:56,behavior
25,husband,2025-05-24T21:21:01,offer
26,top,2025-07-20T04:54:00,time
27,reveal,2025-01-21T18:31:09,probably
28,let,2025-01-31T09:20:52,serve
29,skin,2025-04-04T18:14:06,budget
30,build,2025-02-12T00:04:22,debate
31,lay,2025-05-12T11:30:54,series
32,hope,2025-04-22T22:25:23,quality
33,fall,2025-01-03T05:25:34,candidate
34,voice,2025-07-22T12:51:13,action
35,camera,2025-07-04T12:19:29,any
36,exist,2025-04-19T14:15:27,father
37,can,2025-07-04T03:51:53,work
38,without,2025-03-12T21:04:58,foreign
39,east,2025-03-10T02:35:39,whatever
40,large,2025-03-29T13:21:08,onto
41,week,2025-02-04T03:57:07,argue
42,likely,2025-03-02T00:14:04,political
43,born,2025-05-16T16:29:08,hour
44,impact,2025-07-16T06:06:53,while
45,alone,2025-04-21T19:55:11,toward
46,foot,2025-03-28T10:34:23,myself
47,town,2025-06-13T04:31:15,site
48,feeling,2025-04-27T15:38:47,them
49,quite,2025-01-25T22:56:04,character
50,resource,2025-04-14T12:34:24,on
51,business,2025-02-26T03:16:55,plan
52,news,2025-05-04T00:12:08,arrive
53,picture,2025-04-01T19:36:06,candidate
54,stock,2025-07-15T17:28:04,agreement
55,successful,2025-03-15T23:57:03,week
56,physical,2025-05-12T17:38:56,record
57,experience,2025-04-28T19:34:01,western
58,oil,2025-06-29T17:50:01,miss
59,similar,2025-07-21T16:53:43,factor
60,movement,2025-07-03T17:01:11,shoulder
61,charge,2025-06-20T12:18:45,green
62,old,2025-01-26T21:07:50,key
63,same,2025-06-03T03:08:05,himself
64,score,2025-02-08T12:56:33,friend
65,sign,2025-05-19T07:50:02,central
66,guy,2025-01-12T10:42:23,discover
67,major,2025-01-15T06:14:19,business
68,professor,2025-05-12T22:11:20,outside
69,live,2025-03-30T14:49:43,return
70,out,2025-05-09T10:13:48,film
71,explain,2025-05-20T19:40:27,owner
72,ready,2025-01-02T01:00:46,ready
73,six,2025-02-25T20:08:58,southern
74,low,2025-03-24T22:43:31,our
75,rather,2025-05-19T01:11:15,analysis
76,product,2025-05-02T11:59:54,defense
77,unit,2025-04-22T18:33:52,friend
78,she,2025-05-03T11:29:28,her
79,prevent,2025-01-20T01:07:25,often
80,black,2025-02-01T07:55:08,player
81,machine,2025-07-19T12:54:02,story
82,there,2025-01-04T09:01:15,modern
83,wonder,2025-02-19T01:20:52,them
84,other,2025-07-15T22:14:08,fly
85,way,2025-03-15T03:29:59,piece
86,receive,2025-03-12T14:34:25,receive
87,politics,2025-06-03T03:08:33,number
88,black,2025-05-09T10:27:12,station
89,however,2025-06-14T18:21:15,speak
90,without,2025-01-02T22:43:23,candidate
91,approach,2025-07-15T19:27:21,state
92,use,2025-01-28T13:50:27,peace
93,yet,2025-06-11T19:38:01,draw
94,everyone,2025-02-09T06:39:34,prevent
95,white,2025-06-06T02:13:59,head
96,four,2025-03-01T16:38:18,story
97,resource,2025-05-10T20:36:54,throw
98,through,2025-02-04T13:31:05,draw
99,explain,2025-06-15T22:07:21,never
100,interview,2025-01-12T12:59:48,art
101,almost,2025-02-02T11:35:36,generation
102,serious,2025-03-05T03:47:10,staff
103,everything,2025-03-23T06:05:45,bag
104,ten,2025-02-22T02:47:01,positive
105,reality,2025-06-11T18:26:41,everybody
106,animal,2025-04-16T11:52:29,keep
107,give,2025-04-07T23:35:51,carry
108,particularly,2025-06-22T08:07:34,positive
109,approach,2025-05-05T14:30:02,kitchen
110,sell,2025-01-28T14:42:04,support
111,big,2025-05-09T09:06:49,west
112,rather,2025-03-01T17:21:49,national
113,find,2025-01-17T22:44:49,sense
114,along,2025-04-10T09:33:46,alone
115,manager,2025-04-24T15:56:43,role
116,stuff,2025-03-08T19:40:05,wall
117,large,2025-07-12T02:30:25,successful
118,party,2025-06-19T05:02:46,pattern
119,clearly,2025-01-10T22:01:57,model
120,name,2025-05-24T08:26:24,trade
121,its,2025-05-17T10:44:16,drive
122,hear,2025-05-16T18:23:49,night
123,within,2025-05-27T04:45:50,still
124,scientist,2025-05-26T21:53:13,whole
125,hair,2025-02-27T17:29:41,best
126,social,2025-01-01T08:25:03,attack
127,wide,2025-06-22T17:52:41,experience
128,a,2025-06-19T23:30:39,candidate
129,interest,2025-04-20T20:02:34,not
130,agent,2025-03-29T14:37:26,professional
131,conference,2025-04-04T20:54:54,indeed
132,lose,2025-01-10T07:23:16,marriage
133,ground,2025-03-21T12:37:03,another
134,remember,2025-05-23T00:26:29,current
135,these,2025-03-27T16:46:28,nearly
136,star,2025-06-08T23:16:41,song
137,report,2025-05-18T16:18:31,anything
138,movement,2025-03-09T04:34:13,get
139,without,2025-04-21T21:52:35,civil
140,mind,2025-07-13T21:07:54,on
141,foreign,2025-04-23T20:26:18,try
142,glass,2025-04-11T00:46:45,thought
143,explain,2025-01-28T17:19:23,day
144,break,2025-03-06T12:57:09,feel
145,skin,2025-03-22T15:53:30,without
146,ever,2025-07-17T07:47:43,maybe
147,check,2025-01-05T14:07:45,air
148,bit,2025-06-09T15:56:52,enough
149,night,2025-04-05T18:32:08,respond
150,simply,2025-03-25T00:33:36,number
151,imagine,2025-05-18T20:02:08,behavior
152,arm,2025-03-26T20:37:40,design
153,use,2025-04-21T18:02:22,attack
154,something,2025-06-26T14:20:46,successful
155,food,2025-02-04T23:40:22,full
156,growth,2025-02-23T14:55:42,training
157,use,2025-06-14T21:21:21,for
158,fill,2025-05-10T00:54:25,career
159,conference,2025-05-01T17:13:06,book
160,pick,2025-05-01T19:44:16,growth
161,American,2025-06-16T15:36:49,she
162,huge,2025-05-20T14:11:26,day
163,lead,2025-04-08T00:21:30,measure
164,receive,2025-03-05T12:14:04,avoid
165,face,2025-01-05T14:31:57,still
166,everything,2025-04-13T17:49:12,idea
167,sense,2025-02-18T20:54:08,gas
168,democratic,2025-07-20T05:52:07,necessary
169,group,2025-03-21T01:15:11,sit
170,evidence,2025-04-01T16:04:37,but
171,stage,2025-02-03T20:30:48,matter
172,member,2025-03-01T06:55:36,themselves
173,increase,2025-06-19T03:28:57,second
174,network,2025-01-11T12:44:13,Republican
175,somebody,2025-06-09T23:44:01,hospital
176,much,2025-01-20T17:45:34,visit
177,mouth,2025-07-23T06:09:15,policy
178,effort,2025-04-16T01:45:59,president
179,we,2025-06-03T19:55:53,performance
180,shoulder,2025-07-23T18:59:43,able
181,have,2025-03-01T22:26:46,pay
182,real,2025-04-24T15:09:44,heavy
183,see,2025-06-02T21:57:25,spring
184,will,2025-07-10T02:33:02,tree
185,happen,2025-02-10T23:13:02,herself
186,fall,2025-01-27T16:45:54,natural
187,lot,2025-01-15T09:26:09,in
188,end,2025-07-03T15:41:22,seek
189,race,2025-04-16T08:08:46,hospital
190,speech,2025-07-13T00:12:14,first
191,eye,2025-02-28T17:41:59,yard
192,its,2025-03-10T10:59:43,experience
193,early,2025-04-10T08:22:02,few
194,since,2025-01-30T01:31:43,smile
195,hope,2025-02-07T03:55:49,listen
196,represent,2025-03-20T07:03:29,fall
197,policy,2025-07-22T16:50:33,environment
