id,platform_product_id,price,checked_at
1,nation,256.03,development
2,democratic,423.02,find
3,board,301.27,make
4,agreement,252.38,door
5,huge,119.66,Congress
6,technology,280.05,include
7,difficult,129.21,as
8,center,37.33,begin
9,marriage,63.32,successful
10,everything,493.4,player
11,stop,198.72,beyond
12,sit,293.34,piece
13,later,45.21,ready
14,operation,371.78,figure
15,class,474.27,human
16,read,362.14,food
17,much,217.72,couple
18,laugh,304.54,suffer
19,treatment,196.07,set
20,television,74.18,third
21,nice,492.1,strategy
22,save,39.92,better
23,but,203.94,collection
24,serve,194.3,explain
25,security,8.28,list
26,sell,144.65,news
27,man,260.85,gas
28,whether,188.25,seem
29,seek,277.13,ever
30,hospital,177.06,name
31,base,175.19,want
32,local,366.23,test
33,tough,350.11,cause
34,care,57.9,prepare
35,eat,275.51,film
36,area,95.54,field
37,your,245.3,program
38,knowledge,198.75,customer
39,stay,391.79,old
40,ability,348.96,hundred
41,how,328.17,city
42,marriage,262.59,stop
43,join,498.89,current
44,hour,471.92,watch
45,like,8.18,western
46,however,26.94,activity
47,spend,45.67,arm
48,miss,430.93,city
49,room,150.48,century
50,offer,379.9,fight
51,career,204.82,owner
52,analysis,415.99,create
53,letter,204.32,quite
54,head,165.79,leader
55,camera,297.34,base
56,experience,380.04,gun
57,every,145.88,hold
58,memory,40.75,cause
59,character,18.13,very
60,still,108.98,myself
61,involve,85.44,example
62,process,378.75,through
63,material,54.76,standard
64,up,247.06,hour
65,strong,70.53,bank
66,effect,445.94,attorney
67,stop,13.73,trade
68,color,144.06,teach
69,also,131.99,rest
70,teach,245.38,base
71,sort,437.62,detail
72,onto,366.01,history
73,we,307.48,design
74,probably,74.87,voice
75,front,299.38,study
76,according,478.64,maintain
77,wrong,381.91,put
78,return,326.7,up
79,kitchen,449.97,evening
80,social,366.12,white
81,movement,38.77,former
82,together,98.15,part
83,step,226.6,century
84,second,278.66,citizen
85,option,103.4,think
86,read,389.54,eat
87,energy,493.43,us
88,stock,265.07,huge
89,understand,498.27,wear
90,employee,493.11,another
91,pretty,43.37,air
92,career,389.09,minute
93,himself,84.28,method
94,stock,33.69,four
95,Republican,304.86,friend
96,move,242.49,stay
97,trip,308.07,will
98,maintain,325.54,million
99,debate,262.05,step
100,everything,116.17,energy
101,Congress,295.47,end
102,hard,166.04,well
103,garden,263.2,major
104,financial,161.06,situation
105,rock,120.35,arm
106,real,224.67,to
107,Congress,368.23,establish
108,memory,227.04,provide
109,beat,297.57,sometimes
110,paper,373.66,have
111,school,476.48,media
112,well,407.63,movement
113,her,367.66,draw
114,hard,128.35,best
115,public,201.9,and
116,why,275.91,fund
117,cold,196.33,network
118,issue,270.42,any
119,somebody,140.97,nature
120,staff,107.9,and
121,always,431.71,person
122,might,293.0,product
123,beat,358.42,reason
124,kitchen,163.68,give
125,quite,491.94,girl
126,role,163.25,recognize
127,still,54.62,degree
128,whether,251.52,war
129,quickly,212.5,become
130,drop,323.72,that
131,eat,245.01,risk
132,dark,470.12,have
133,policy,265.87,growth
134,put,18.01,money
135,guess,273.53,expert
136,admit,490.66,may
137,east,147.92,system
138,take,156.24,join
139,oil,405.11,down
140,political,419.32,concern
141,past,51.11,case
142,wonder,403.7,service
143,picture,492.89,at
144,people,189.28,politics
145,within,21.77,sport
146,north,112.73,move
147,area,353.76,while
148,research,55.71,evening
149,gas,15.75,teacher
150,join,454.87,gas
151,story,387.86,debate
152,anyone,222.63,themselves
153,first,267.34,look
154,none,23.29,computer
155,treat,417.51,property
156,work,80.49,woman
157,same,373.74,food
158,last,423.4,he
159,heavy,447.8,entire
160,seem,34.15,system
161,their,340.82,itself
162,hospital,446.64,several
163,determine,13.09,media
164,public,479.23,still
165,pattern,84.41,have
166,alone,201.54,election
167,up,130.65,responsibility
168,since,497.08,magazine
169,serve,483.2,middle
170,car,331.78,out
171,treat,389.17,field
172,standard,282.67,pick
173,smile,72.92,blue
174,entire,224.59,spring
175,nature,103.8,trip
176,activity,488.2,herself
177,whatever,341.09,church
178,young,426.65,forget
179,lay,158.93,second
180,car,229.14,service
181,maybe,479.49,us
182,every,151.85,might
183,question,20.75,design
184,dog,372.8,situation
185,tax,266.92,national
186,together,491.09,also
187,affect,187.76,executive
188,call,65.87,PM
189,condition,134.1,much
190,against,371.48,both
191,board,451.79,kind
192,color,19.86,idea
193,model,61.05,bank
194,wall,169.44,easy
195,strategy,205.16,a
196,play,358.94,especially
197,half,284.66,this
198,role,464.87,let
199,series,466.47,fish
200,several,283.44,face
