id,product_id,embedding_vector
1,course,"[-0.042, -0.729, 0.251, 0.593, -0.901, -0.724, -0.039, 0.745, -0.021, -0.19]"
2,production,"[-0.293, 0.047, -0.571, 0.627, 0.905, 0.767, -0.233, -0.435, 0.985, 0.942]"
3,ago,"[-0.732, 0.912, -0.109, 0.2, -0.13, -0.216, 0.903, -0.972, 0.209, 0.271]"
4,despite,"[0.114, -0.301, -0.976, 0.212, -0.087, -0.404, -1.0, -0.893, 0.627, 0.273]"
5,provide,"[-0.39, 0.443, 0.725, 0.35, -0.02, -0.373, -0.221, -0.301, 0.442, -0.403]"
6,game,"[-0.147, 0.84, 0.008, 0.978, 0.15, -0.019, 0.872, -0.889, 0.759, 0.472]"
7,year,"[-0.029, 1.0, -0.861, 0.574, -0.696, -0.746, 0.922, -0.088, 0.579, -0.844]"
8,member,"[-0.794, 0.39, 0.004, -0.883, -0.38, 0.265, 0.841, -0.708, -0.409, 0.339]"
9,democratic,"[-0.028, 0.307, 0.415, 0.174, -0.634, 0.939, 0.403, 0.857, 0.612, 0.665]"
10,participant,"[-0.539, -0.186, -0.025, 0.067, -0.923, 0.091, 0.345, 0.888, 0.498, 0.205]"
11,American,"[-0.982, 0.57, 0.638, -0.112, -0.97, 0.45, -0.96, 0.044, 0.169, -0.622]"
12,forget,"[-0.289, -0.019, 0.945, 0.177, -0.973, -0.612, 0.172, -0.861, 0.219, 0.561]"
13,heart,"[0.607, -0.896, 0.391, 0.599, 0.362, 0.084, 0.543, 1.0, -0.315, 0.282]"
14,citizen,"[-0.789, 0.693, -0.476, -0.872, -0.562, -0.862, 0.254, -0.187, -0.456, -0.707]"
15,church,"[-0.522, 0.755, -0.705, 0.181, -0.782, 0.044, 0.984, 0.74, 0.145, 0.454]"
16,understand,"[-0.138, -0.971, -0.411, 0.211, -0.296, 0.161, 0.63, -0.384, 0.269, -0.987]"
17,remain,"[0.827, -0.467, -0.677, -0.842, 0.315, 0.121, 0.59, 0.655, 0.614, 0.896]"
18,hotel,"[-0.793, 0.992, 0.21, -0.552, 0.957, 0.615, -0.932, -0.561, 0.611, 0.852]"
19,first,"[0.863, 0.1, 0.931, 0.475, -0.061, -0.015, 0.771, -0.837, -0.264, 0.532]"
20,ok,"[0.705, -0.328, -0.627, -0.892, -0.302, -0.454, 0.124, -0.091, 0.836, -0.705]"
21,end,"[0.929, 0.306, 0.489, -0.179, 0.871, 0.906, -0.278, 0.705, -0.043, -0.966]"
