id,platform_product_id,price,currency,timestamp
1,series,260.08,USD,2025-04-19T21:52:38
2,glass,417.23,USD,2025-01-13T08:19:51
3,debate,373.15,USD,2025-02-01T15:53:25
4,consider,172.93,USD,2025-06-15T10:06:30
5,able,348.37,INR,2025-01-22T01:33:44
6,investment,31.63,USD,2025-06-13T19:01:00
7,institution,115.25,INR,2025-02-20T03:54:40
8,bar,491.66,INR,2025-02-20T00:22:28
9,such,228.01,INR,2025-07-16T03:54:43
10,pass,176.48,USD,2025-03-25T04:08:39
11,up,441.18,INR,2025-07-14T21:16:33
12,right,73.82,INR,2025-03-12T01:03:42
13,evening,424.41,INR,2025-01-02T04:42:27
14,wrong,462.07,INR,2025-05-26T15:45:21
15,sea,9.41,INR,2025-02-18T15:49:28
16,through,490.57,USD,2025-05-27T10:06:53
17,discover,120.21,INR,2025-02-12T13:15:47
18,authority,299.46,INR,2025-04-16T11:37:30
19,loss,440.54,INR,2025-06-16T19:49:53
20,sure,58.37,INR,2025-06-24T01:54:59
21,health,60.54,INR,2025-03-26T07:46:12
22,white,202.36,INR,2025-03-10T03:51:45
23,purpose,20.12,INR,2025-05-12T17:50:17
24,member,416.72,USD,2025-07-08T08:03:35
25,her,378.69,USD,2025-03-07T10:44:00
26,least,210.48,INR,2025-04-17T20:54:46
27,role,349.11,USD,2025-04-12T09:33:25
28,far,291.22,INR,2025-03-06T08:13:22
29,family,37.07,USD,2025-01-31T05:14:27
30,see,423.78,INR,2025-05-24T07:11:32
31,class,265.24,USD,2025-04-01T19:37:02
32,class,359.38,INR,2025-02-12T19:16:54
33,in,388.74,USD,2025-01-31T02:28:18
34,after,198.22,INR,2025-06-10T09:07:48
35,may,95.15,USD,2025-07-10T20:07:26
36,sure,156.05,INR,2025-03-07T01:35:28
37,discussion,428.69,USD,2025-05-08T22:49:11
38,someone,405.6,USD,2025-05-16T07:43:55
39,situation,315.62,USD,2025-02-09T03:30:56
40,measure,464.98,INR,2025-07-15T06:40:43
41,themselves,430.92,INR,2025-01-30T04:53:14
42,bank,360.12,INR,2025-04-23T01:56:37
43,whether,368.67,USD,2025-02-13T15:38:46
44,cost,112.96,INR,2025-04-13T01:39:33
45,now,392.47,USD,2025-05-04T07:43:15
46,hotel,353.17,USD,2025-02-01T09:56:14
47,each,159.32,USD,2025-02-20T13:16:37
48,entire,489.14,USD,2025-05-20T06:20:08
49,as,462.38,INR,2025-07-16T16:51:10
50,others,108.44,USD,2025-05-03T11:43:45
51,short,161.36,INR,2025-04-08T06:08:53
52,unit,428.55,INR,2025-05-16T23:41:47
53,senior,40.24,USD,2025-06-12T04:12:24
54,reflect,135.28,INR,2025-01-31T21:32:42
55,serious,197.56,INR,2025-06-27T15:19:17
56,sense,135.11,INR,2025-07-03T15:56:36
57,pressure,328.33,USD,2025-06-12T04:37:47
58,anyone,90.44,INR,2025-03-27T04:22:51
59,style,390.7,INR,2025-04-12T12:44:35
60,building,463.75,INR,2025-02-04T12:49:24
61,message,27.16,USD,2025-03-03T22:54:13
62,with,351.75,INR,2025-04-30T05:35:11
63,individual,27.39,INR,2025-06-26T21:03:03
64,argue,411.61,INR,2025-04-11T15:39:45
65,onto,264.29,USD,2025-06-27T20:45:33
66,fine,132.55,INR,2025-06-12T15:13:42
67,soldier,244.49,USD,2025-06-24T18:10:29
68,interview,344.78,INR,2025-01-22T05:31:12
69,hear,291.46,USD,2025-01-23T07:24:19
70,continue,456.28,INR,2025-02-07T05:48:16
71,center,149.85,USD,2025-01-23T23:31:13
72,method,315.65,INR,2025-04-21T20:31:48
73,toward,40.4,USD,2025-01-04T12:24:27
74,bank,77.5,USD,2025-01-19T00:00:09
75,same,10.57,USD,2025-05-12T23:45:13
76,attorney,342.47,USD,2025-02-06T17:29:28
77,season,450.02,INR,2025-02-18T17:16:00
78,voice,171.53,USD,2025-01-29T22:20:44
79,beyond,124.98,USD,2025-01-20T15:39:36
80,within,152.94,USD,2025-07-02T22:20:09
81,try,247.4,INR,2025-04-07T20:41:49
82,pretty,162.4,USD,2025-02-07T21:04:08
83,drive,308.13,USD,2025-04-01T14:13:46
84,feeling,101.03,INR,2025-02-10T13:01:30
85,this,25.54,INR,2025-06-26T02:34:10
86,treat,33.44,USD,2025-04-14T05:40:06
87,smile,493.15,INR,2025-03-20T05:28:06
88,fear,140.36,USD,2025-02-27T17:34:37
89,care,190.3,INR,2025-03-28T00:53:59
90,important,499.74,USD,2025-05-06T15:42:59
91,officer,177.29,INR,2025-02-28T04:53:38
92,great,473.6,USD,2025-02-04T21:54:32
93,green,86.31,INR,2025-03-23T01:29:29
94,remain,391.74,INR,2025-04-26T20:10:53
95,at,179.3,INR,2025-06-07T22:01:32
96,research,85.51,USD,2025-07-23T05:44:10
97,late,141.63,USD,2025-07-23T14:51:09
98,side,322.18,INR,2025-03-16T05:50:52
99,little,109.12,USD,2025-03-10T18:26:10
100,as,166.26,INR,2025-04-15T18:26:40
101,child,12.78,USD,2025-01-23T06:45:18
102,itself,422.41,INR,2025-01-04T08:36:44
103,nature,465.42,USD,2025-06-25T20:40:19
104,occur,301.02,USD,2025-07-23T07:04:22
105,own,21.63,INR,2025-03-27T11:11:17
106,gun,453.93,USD,2025-07-18T03:45:06
107,brother,132.61,INR,2025-03-23T16:11:42
108,grow,145.25,USD,2025-04-07T12:21:40
109,sister,53.98,USD,2025-06-20T03:52:55
110,address,156.39,INR,2025-01-23T17:00:42
111,personal,390.75,INR,2025-07-23T23:28:24
112,experience,28.48,INR,2025-03-25T02:02:40
113,available,93.76,INR,2025-05-16T18:59:46
114,anyone,446.69,INR,2025-02-08T08:30:41
115,lot,251.23,USD,2025-02-22T08:47:42
116,standard,86.81,USD,2025-05-05T07:37:11
117,word,235.52,INR,2025-06-13T06:14:29
118,may,328.13,INR,2025-02-16T02:45:59
119,break,84.56,USD,2025-04-14T03:42:42
120,save,106.11,USD,2025-03-27T22:57:47
121,bed,145.86,USD,2025-05-25T06:08:59
122,serious,375.97,INR,2025-03-21T16:39:04
123,recent,259.89,USD,2025-06-12T23:35:48
124,whatever,178.83,USD,2025-02-22T05:44:45
125,name,228.78,INR,2025-01-10T13:46:43
126,decision,269.78,INR,2025-02-05T01:19:55
127,culture,144.08,USD,2025-03-16T09:12:03
128,worker,258.67,INR,2025-07-03T20:04:36
129,suffer,454.24,INR,2025-02-23T09:16:58
130,statement,370.58,USD,2025-05-30T11:23:06
131,not,124.97,USD,2025-02-15T22:43:53
132,computer,431.77,INR,2025-03-05T07:25:24
133,future,56.74,USD,2025-06-13T18:57:14
134,control,449.98,USD,2025-07-18T20:14:09
135,wrong,270.38,INR,2025-03-28T03:53:08
136,they,255.06,INR,2025-01-01T16:43:22
137,return,344.65,USD,2025-03-20T11:19:32
138,away,326.22,USD,2025-03-13T04:10:27
139,happy,284.58,INR,2025-03-30T22:24:53
140,behind,244.92,USD,2025-06-11T23:10:38
141,prevent,455.18,INR,2025-03-20T12:24:52
142,gas,119.87,USD,2025-05-15T01:42:27
143,chance,278.25,USD,2025-05-25T03:24:25
144,receive,329.36,USD,2025-05-20T19:42:34
145,pretty,79.96,USD,2025-01-12T01:33:50
146,local,400.64,INR,2025-05-18T06:07:05
147,between,153.66,INR,2025-06-17T16:37:36
148,yeah,55.81,INR,2025-01-29T08:49:32
149,more,425.21,INR,2025-04-21T19:59:59
150,join,311.52,USD,2025-05-20T20:41:44
151,government,72.62,INR,2025-04-30T09:14:15
152,administration,374.29,USD,2025-05-07T13:14:03
153,learn,53.85,INR,2025-06-19T16:00:26
154,light,337.85,INR,2025-04-29T05:10:08
155,accept,143.43,INR,2025-04-19T11:04:35
156,receive,152.14,INR,2025-06-08T04:13:11
157,cup,11.52,USD,2025-06-02T13:46:39
158,look,279.55,USD,2025-02-20T22:22:26
159,type,444.2,USD,2025-06-13T17:43:24
160,safe,193.61,INR,2025-05-02T00:57:12
161,drive,156.36,INR,2025-03-12T19:04:49
162,yes,67.96,USD,2025-01-31T03:41:19
163,stage,313.33,USD,2025-04-14T07:44:39
164,simple,402.85,USD,2025-02-10T22:46:04
165,sometimes,169.56,INR,2025-06-29T18:59:47
166,result,476.11,INR,2025-01-15T17:23:00
167,imagine,467.51,INR,2025-06-13T04:25:17
168,wide,222.85,USD,2025-04-02T22:24:38
169,bank,318.74,INR,2025-01-31T00:15:21
170,price,266.17,USD,2025-01-26T12:31:06
171,conference,170.78,INR,2025-01-24T00:30:32
172,likely,485.55,INR,2025-07-07T19:07:14
