id,query,result_count,executed_at
1,show,know,foot
2,prove,site,base
3,few,once,rather
4,interesting,population,thank
5,treatment,exist,trial
6,manage,where,view
7,month,open,everything
8,series,herself,feel
9,floor,us,owner
10,or,population,bit
11,matter,structure,way
12,indeed,matter,tonight
13,feel,reach,learn
14,because,until,fill
15,much,quality,statement
16,ask,study,involve
17,research,travel,dark
18,trouble,unit,onto
19,seek,southern,why
20,blue,less,speech
21,four,it,well
22,enjoy,couple,boy
23,serious,view,commercial
24,describe,onto,left
25,cell,determine,material
26,card,though,bit
27,try,kind,past
28,final,man,option
29,include,next,civil
30,during,face,world
31,recently,exist,though
32,push,expect,professional
33,great,agreement,idea
34,himself,program,list
35,help,although,together
36,that,forget,task
37,next,sit,plant
38,anyone,one,you
39,do,success,just
40,now,begin,attorney
41,share,watch,benefit
42,however,you,center
43,certainly,develop,century
44,cost,reality,ago
45,police,idea,owner
46,difference,treatment,movie
47,present,by,knowledge
48,dark,fact,order
49,specific,high,race
50,part,despite,report
51,region,fly,foot
52,whose,step,add
53,already,already,test
54,these,produce,become
55,give,wait,cause
56,fly,must,fill
57,project,design,rock
58,prevent,range,well
59,result,subject,international
60,recent,save,property
61,goal,ten,today
62,pass,performance,answer
63,certainly,between,she
64,glass,win,action
65,develop,whom,break
66,north,task,arrive
67,need,level,stock
68,its,practice,lead
69,day,hour,service
70,according,standard,whole
71,owner,across,close
72,best,hit,natural
73,six,Democrat,stay
74,word,hair,small
75,week,wonder,husband
76,board,start,collection
77,boy,building,I
78,measure,especially,benefit
79,hand,rise,us
80,effort,decide,they
81,activity,others,exactly
82,work,structure,interest
83,full,agreement,explain
84,community,goal,feeling
85,movie,yet,theory
86,that,onto,tree
87,writer,while,relationship
88,present,garden,media
89,feel,idea,item
90,thus,song,space
91,guy,hope,pretty
92,significant,factor,own
93,you,floor,card
94,middle,experience,outside
95,interview,when,new
96,must,just,possible
97,cost,half,remember
98,condition,market,painting
99,she,feeling,walk
100,summer,economy,one
101,spring,early,player
102,get,affect,test
103,laugh,Democrat,white
104,century,sure,impact
105,make,around,put
106,man,expert,benefit
107,population,huge,all
108,accept,forward,team
109,she,station,professional
110,kind,everyone,shake
111,reality,leave,evening
112,she,enter,require
113,movement,he,office
114,TV,energy,bed
115,many,avoid,black
116,mention,suddenly,type
117,moment,example,do
118,important,early,difference
119,international,serious,save
120,imagine,set,shoulder
121,cold,billion,local
122,window,including,course
123,many,Republican,different
124,wear,civil,election
125,peace,feel,yes
126,claim,specific,behind
127,still,fall,course
128,yard,nice,medical
129,someone,operation,send
130,whether,find,young
131,something,human,air
132,news,approach,though
133,question,year,anything
134,receive,suffer,production
135,apply,project,vote
136,opportunity,he,stay
137,white,safe,worry
138,experience,call,front
139,before,total,entire
140,traditional,interesting,song
141,wide,reason,clear
142,right,staff,couple
143,building,decade,choose
144,data,morning,fast
145,check,media,inside
146,young,bring,mention
147,share,consider,quickly
148,determine,water,traditional
149,message,focus,group
150,particular,floor,travel
151,sing,increase,represent
152,owner,back,third
153,both,development,base
154,name,well,her
155,all,record,avoid
156,ready,paper,but
157,environment,final,magazine
158,issue,training,really
159,once,reality,since
160,state,easy,level
161,report,threat,strategy
162,impact,down,item
163,process,record,act
164,try,dog,born
165,expert,huge,production
166,go,wish,road
167,several,stand,would
168,prevent,majority,feeling
169,rule,property,pick
170,action,few,list
171,hospital,each,few
172,information,between,environment
173,reality,clear,foot
174,analysis,budget,few
175,draw,close,lead
176,small,Mrs,show
177,evidence,drug,maintain
178,international,south,see
179,shoulder,check,speech
180,source,do,movement
181,follow,environment,pick
182,meeting,hair,her
183,or,direction,fast
184,our,green,thing
185,her,recognize,police
186,education,possible,decision
187,keep,along,wait
188,recent,likely,place
189,not,pattern,century
190,surface,size,help
191,physical,defense,real
192,mother,audience,who
193,standard,help,challenge
194,his,home,end
195,black,near,room
196,stock,culture,democratic
197,public,family,simple
198,there,modern,nothing
199,improve,difficult,oil
200,smile,financial,level
