id,query,embedding_vector
1,hit,"[-0.079, 0.056, 0.983, -0.939, -0.961, 0.368, -0.155, 0.877, 0.237, -0.064]"
2,end,"[-0.513, -0.955, -0.266, 0.22, -0.548, -0.398, -0.913, 0.266, 0.562, 0.362]"
3,rest,"[0.595, 0.809, -0.013, 0.293, -0.118, -0.487, -0.079, 0.26, -0.839, -0.234]"
4,rise,"[0.453, 0.825, 0.067, 0.865, 0.617, 0.47, 0.717, -0.774, -0.898, -0.453]"
5,number,"[-0.298, -0.461, 0.358, 0.333, -0.411, 0.088, -0.099, -0.332, 0.33, -0.037]"
6,technology,"[0.92, 0.706, -0.893, -0.711, -0.833, 0.433, 0.623, 0.013, 0.712, 0.827]"
7,relate,"[-0.98, 0.657, 0.199, -0.256, 0.351, -0.55, 0.347, 0.165, 0.189, 0.242]"
8,place,"[-0.449, 0.3, 0.021, 0.998, -0.442, 0.8, -0.465, -0.516, 0.046, -0.567]"
9,remain,"[0.576, 0.515, 0.797, 0.088, -0.725, -0.556, 0.559, 0.882, -0.956, -0.931]"
10,spring,"[0.983, -0.47, 0.007, 0.611, -0.804, -0.107, -0.546, 0.82, -0.449, 0.14]"
11,service,"[-0.507, -0.273, -0.096, 0.504, -0.667, -0.696, 0.298, -0.723, -0.702, -0.711]"
12,whether,"[-0.717, -0.887, 0.991, -0.829, 0.679, -0.906, -0.928, 0.388, -0.996, 0.505]"
13,soldier,"[0.979, 0.289, -0.41, -0.741, -0.58, -0.038, -0.434, -0.524, -0.537, -0.865]"
14,far,"[-0.637, 0.706, 0.137, 0.083, 0.222, 0.696, -0.457, 0.282, 0.123, -0.071]"
15,certain,"[-0.703, 0.456, -0.586, -0.791, 0.214, -0.347, -0.062, 0.108, -0.522, -0.955]"
16,physical,"[-0.276, -0.38, -0.592, -0.108, 0.274, 0.007, 0.006, -0.172, -0.823, -0.24]"
17,level,"[-0.798, 0.018, 0.991, 0.18, 0.975, 0.773, 0.767, 0.311, -0.588, 0.254]"
18,glass,"[-0.364, -0.685, 0.194, 0.799, 0.127, -0.585, 0.134, 0.478, 0.676, 0.399]"
19,thought,"[0.815, 0.139, 0.298, -0.018, 0.454, -0.191, -0.882, -0.377, 0.319, -0.684]"
20,number,"[0.26, -0.704, -0.787, 0.351, 0.56, -0.798, -0.621, 0.946, 0.059, -0.42]"
21,question,"[-0.719, 0.13, -0.198, 0.691, -0.276, -0.869, 0.244, -0.246, 0.928, 0.075]"
22,ten,"[-0.508, -0.69, -0.16, -0.154, 0.539, -0.073, 0.636, -0.589, -0.013, -0.15]"
23,environment,"[-0.826, -0.144, 0.184, 0.919, -0.401, -0.12, -0.626, -0.624, 0.849, 0.904]"
24,activity,"[-0.452, 0.419, -0.125, -0.278, -0.779, -0.082, 0.923, -0.306, 0.553, -0.647]"
25,herself,"[0.543, 0.182, -0.14, 0.723, -0.458, -0.634, 0.287, -0.887, 0.087, -0.404]"
26,speech,"[0.884, -0.878, 0.845, 0.915, -0.962, -0.313, -0.105, -0.148, 0.591, 0.67]"
27,security,"[0.742, -0.745, 0.276, -0.313, 0.792, 0.263, -0.224, -0.151, -0.272, 0.664]"
28,stand,"[0.583, 0.981, 0.861, 0.227, -0.322, 0.697, 0.086, -0.367, 0.584, -0.739]"
29,brother,"[-0.62, -0.684, -0.991, 0.691, 0.192, 0.857, -0.718, -0.254, 0.472, -0.898]"
30,brother,"[-0.459, -0.567, -0.793, 0.3, -0.602, 0.939, 0.756, 0.741, -0.844, 0.465]"
31,consider,"[-0.042, -0.642, -0.15, -0.088, -0.144, -0.575, 0.531, 0.947, 0.69, 0.285]"
32,give,"[-0.454, 0.51, 0.252, -0.417, -0.572, 0.218, 0.976, 0.083, 0.51, -0.437]"
33,significant,"[-0.342, 0.903, -0.863, -0.415, -0.252, 0.692, -0.31, 0.953, 0.505, -0.054]"
34,drive,"[0.613, -0.29, 0.129, 0.262, -0.67, 0.764, 0.825, 0.609, -0.898, -0.866]"
35,federal,"[0.797, 0.036, -0.59, 0.526, 0.216, -0.781, 0.435, 0.578, 0.716, -0.69]"
