id,transaction_id,refund_amount,refund_date
1,nearly,102.61,2025-06-04T06:08:29
2,region,332.32,2025-03-18T17:22:40
3,somebody,144.14,2025-06-25T14:48:15
4,four,259.44,2025-02-18T12:27:58
5,director,340.23,2025-06-15T18:01:42
6,none,396.0,2025-01-15T07:26:49
7,deal,182.42,2025-03-27T03:12:27
8,new,59.44,2025-06-18T22:40:30
9,card,471.03,2025-03-13T19:17:40
10,red,250.98,2025-05-17T14:00:05
11,me,131.52,2025-03-11T07:21:49
12,all,354.18,2025-03-30T03:10:42
13,same,205.86,2025-06-15T20:20:25
14,from,288.02,2025-05-29T14:31:17
15,opportunity,231.61,2025-02-18T08:54:15
16,loss,374.38,2025-06-08T17:50:10
17,modern,209.12,2025-01-04T11:09:59
18,after,252.49,2025-03-22T03:11:44
19,travel,381.94,2025-06-14T00:10:50
20,inside,324.57,2025-04-10T07:52:01
21,cold,132.4,2025-01-09T05:16:16
22,now,103.31,2025-05-01T08:05:13
23,image,484.23,2025-01-31T17:48:51
24,expect,65.75,2025-05-08T02:47:18
25,education,56.97,2025-05-24T02:32:23
26,learn,180.08,2025-02-06T23:37:46
27,early,17.98,2025-05-16T06:26:31
28,look,216.13,2025-02-21T12:33:17
29,radio,481.36,2025-03-29T05:03:11
30,imagine,53.61,2025-04-05T10:50:04
31,early,314.85,2025-07-06T02:01:30
32,popular,307.02,2025-04-15T10:02:48
33,reason,139.07,2025-06-28T00:27:53
34,television,19.28,2025-06-06T23:44:01
35,television,25.34,2025-03-02T09:54:39
36,stock,165.76,2025-07-04T23:58:58
37,direction,126.88,2025-07-23T07:56:56
38,approach,455.58,2025-03-28T10:46:08
39,movement,225.92,2025-03-30T07:48:41
40,coach,284.17,2025-02-09T17:21:44
41,family,183.8,2025-05-14T18:58:46
42,deep,322.19,2025-01-02T03:02:50
43,would,371.34,2025-05-03T02:39:25
44,similar,75.09,2025-05-30T22:46:15
45,identify,30.48,2025-04-21T02:26:41
46,article,90.07,2025-02-21T10:15:17
47,light,188.48,2025-05-30T23:24:47
48,character,408.26,2025-04-08T13:48:21
49,benefit,492.66,2025-05-05T10:09:56
50,edge,187.56,2025-03-12T22:37:51
51,perhaps,246.19,2025-02-12T19:12:26
