id,user_id,query,timestamp
1,east,little,2025-05-06T07:03:03
2,black,around,2025-01-05T19:55:36
3,little,raise,2025-01-31T21:01:10
4,everything,single,2025-01-15T14:49:48
5,you,simple,2025-02-24T21:02:43
6,structure,raise,2025-03-18T01:51:34
7,that,shake,2025-03-13T09:35:01
8,Mr,finish,2025-07-04T06:34:58
9,control,huge,2025-04-24T09:43:14
10,source,edge,2025-07-01T18:21:29
11,shoulder,hand,2025-03-30T20:28:38
12,I,week,2025-04-02T17:46:24
13,visit,popular,2025-03-04T05:13:44
14,fund,since,2025-02-23T23:45:27
15,reduce,dinner,2025-06-11T12:12:03
16,stop,threat,2025-01-15T01:36:32
17,common,hope,2025-04-10T18:41:02
18,reality,bit,2025-06-06T12:32:58
19,no,impact,2025-02-26T10:21:05
20,should,every,2025-04-08T05:21:50
21,race,go,2025-01-31T08:17:35
22,practice,but,2025-01-31T14:32:09
23,effect,would,2025-01-31T23:53:34
24,specific,activity,2025-03-07T17:40:12
25,wrong,yourself,2025-02-07T07:10:07
26,process,sell,2025-03-18T16:27:41
27,partner,miss,2025-02-04T14:53:45
28,at,Republican,2025-07-21T23:59:38
29,commercial,agency,2025-05-20T23:13:49
30,first,decade,2025-01-03T05:20:40
31,thought,exist,2025-06-02T09:07:45
32,each,sure,2025-01-22T02:13:47
33,miss,game,2025-04-29T06:34:20
34,majority,course,2025-04-22T13:04:16
35,decade,job,2025-03-30T17:10:18
36,enter,method,2025-02-24T06:15:48
37,send,speak,2025-05-11T06:05:22
38,respond,radio,2025-07-23T16:30:57
39,individual,blue,2025-01-14T07:18:28
40,for,environmental,2025-03-23T21:59:47
41,short,budget,2025-03-09T16:36:46
42,yard,number,2025-01-16T07:27:37
43,pretty,service,2025-05-27T16:45:43
44,voice,charge,2025-07-17T12:39:23
45,find,dinner,2025-06-09T01:46:10
46,exactly,certain,2025-03-11T00:04:49
47,occur,they,2025-03-19T18:45:34
48,exactly,station,2025-06-01T13:34:01
49,cultural,else,2025-01-18T14:21:36
50,teach,do,2025-02-17T12:48:50
51,language,agree,2025-04-28T07:40:49
52,lot,price,2025-05-09T22:06:56
53,fall,add,2025-04-17T00:23:41
54,thus,agreement,2025-01-13T12:34:30
