id,category_id,embedding_vector
1,force,"[-0.436, -0.039, 0.165, 0.528, -0.717, 0.71, 0.256, -0.368, -0.562, -0.391]"
2,who,"[0.96, 0.679, -0.223, -0.573, -0.98, 0.701, 0.237, -0.121, -0.097, 0.052]"
3,above,"[-0.561, 0.02, -0.816, -0.701, -0.399, 0.231, 0.608, 0.892, -0.439, -0.347]"
4,include,"[-0.792, 0.235, 0.302, 0.954, -0.618, -0.09, 0.17, -0.742, 0.389, -0.578]"
5,drug,"[-0.31, -0.588, 0.205, -0.419, -0.43, -0.652, -0.631, -0.57, -0.3, -0.84]"
6,tonight,"[-0.09, 0.57, 0.631, -0.897, 0.266, -0.674, -0.688, 0.004, -0.719, 0.895]"
7,base,"[0.705, -0.329, -0.603, 0.96, 0.181, 0.846, -0.192, -0.557, 0.987, 0.132]"
8,memory,"[-0.98, 0.606, -0.114, -0.319, 0.984, 0.629, -0.4, 0.894, 0.317, 0.098]"
9,of,"[0.575, -0.011, 0.886, -0.155, 0.828, 0.477, 0.05, -0.451, 0.531, -0.616]"
10,poor,"[0.645, -0.054, -0.735, 0.382, -0.113, 0.856, -0.543, -0.882, 0.364, 0.908]"
11,meet,"[0.562, 0.111, -0.009, 0.128, 0.136, 0.811, -0.465, -0.619, 0.189, 0.818]"
12,security,"[0.327, 0.28, -0.146, -0.229, -0.251, 0.963, 0.734, -0.515, -0.206, -0.853]"
13,child,"[0.329, -0.165, 0.757, 0.779, 0.446, -0.775, -0.438, -0.252, -0.151, -0.846]"
14,great,"[-0.601, 0.133, 0.109, 0.987, -0.396, -0.691, 0.362, 0.949, 0.303, 0.483]"
15,reflect,"[-0.321, -0.388, 0.59, 0.185, 0.87, -0.139, -0.061, -0.361, 0.384, 0.318]"
16,else,"[-0.113, 0.246, 0.997, -0.861, -0.91, 0.931, 0.161, 0.561, 0.244, -0.346]"
17,hair,"[0.129, 0.328, -0.069, 0.292, -0.713, -0.683, -0.731, -0.213, -0.223, 0.07]"
18,if,"[-0.621, -0.087, 0.63, -0.532, 0.845, -0.814, -0.443, -0.043, -0.992, -0.063]"
19,sea,"[-0.557, -0.392, 0.307, -0.305, -0.4, -0.993, -0.612, -0.288, -0.978, -0.7]"
20,grow,"[0.801, -0.698, -0.967, -0.186, -0.582, -0.996, -0.204, -0.562, 0.681, -0.538]"
21,be,"[0.431, -0.431, -0.937, 0.933, -0.387, 0.737, 0.181, 0.376, 0.564, 0.265]"
22,not,"[-0.906, -0.382, -0.364, -0.124, -0.92, 0.425, -0.754, -0.513, -0.822, 0.477]"
23,read,"[-0.927, -0.511, 0.808, 0.958, 0.861, 0.094, -0.888, -0.661, 0.207, -0.153]"
24,fish,"[-0.798, -0.323, 0.43, -0.578, 0.067, -0.855, -0.177, 0.932, -0.925, 0.943]"
25,method,"[0.795, 0.37, -0.67, 0.34, -0.496, 0.338, 0.845, -0.808, 0.248, -0.92]"
26,boy,"[-0.741, -0.441, 0.087, 0.83, 0.384, -0.721, -0.844, 0.052, 0.227, 0.484]"
27,tonight,"[-0.871, 0.522, 0.301, 0.368, -0.779, -0.923, 0.325, 0.909, 0.653, 0.227]"
28,why,"[0.372, -0.479, -0.107, 0.091, -0.328, -0.432, 0.389, -0.354, -0.861, 0.249]"
29,partner,"[0.129, -0.817, -0.588, 0.133, -0.823, 0.702, -0.63, 0.904, -0.471, 0.107]"
30,rest,"[-0.09, 0.052, -0.623, 0.282, 0.806, -0.937, -0.011, 0.056, 0.351, 0.121]"
31,tend,"[0.845, 0.814, -0.202, -0.606, -0.36, -0.861, 0.154, -0.384, 0.988, 0.756]"
32,within,"[-0.337, -0.139, 0.534, 0.79, 0.699, 0.348, 0.426, 0.527, 0.139, -0.926]"
33,do,"[0.326, -0.245, 0.908, 0.247, -0.765, -0.973, 0.273, -0.666, -0.343, 0.442]"
34,our,"[0.679, -0.615, -0.69, 0.543, -0.128, -0.544, 0.127, 0.844, 0.304, -0.734]"
35,finally,"[-0.622, 0.012, -0.821, -0.111, 0.627, -0.3, -0.836, 0.798, 0.847, 0.198]"
36,serious,"[0.304, -0.643, 0.507, -0.744, 0.024, 0.593, 0.743, -0.977, 0.654, -0.815]"
37,so,"[-0.84, -0.684, -0.703, -0.338, 0.854, -0.378, -0.066, -0.198, 0.918, -0.334]"
38,much,"[-0.833, -0.064, 0.693, 0.459, -0.239, -0.854, -0.892, 0.218, -0.404, 0.07]"
39,or,"[0.431, -0.255, -0.818, 0.416, 0.844, -0.18, 0.053, -0.433, -0.124, 0.362]"
40,skill,"[0.353, -0.188, 0.742, 0.234, -0.092, 0.422, -0.349, -0.274, -0.583, 0.793]"
41,when,"[-0.645, -0.543, 0.538, 0.181, -0.502, 0.592, -0.15, -0.847, -0.411, -0.481]"
42,there,"[0.177, 0.449, -0.276, 0.006, 0.092, 0.738, 0.555, -0.545, 0.804, 0.518]"
43,least,"[0.387, 0.07, 0.767, -0.599, -0.477, -0.041, 0.118, 0.804, 0.059, 0.185]"
44,fund,"[0.163, 0.393, -0.185, -0.873, 0.045, 0.989, 0.408, 0.331, 0.592, -0.695]"
45,computer,"[-0.648, -0.576, 0.752, 0.818, -0.299, 0.492, 0.44, 0.484, -0.637, 0.633]"
46,huge,"[-0.887, 0.044, -0.056, -0.442, 0.007, 0.416, -0.171, 0.803, -0.278, 0.445]"
47,morning,"[-0.153, 0.56, 0.69, -0.06, 0.752, -0.854, -0.005, 0.572, 0.015, -0.127]"
48,rest,"[0.068, -0.307, 0.252, 0.644, 0.65, -0.253, 0.944, 0.178, 0.607, 0.508]"
49,similar,"[-0.6, 0.309, -0.073, -0.612, 0.209, 0.638, 0.367, -0.831, -0.525, 0.759]"
50,arm,"[-0.93, -0.524, 0.07, -0.311, 0.925, 0.127, -0.03, -0.438, 0.466, 0.722]"
51,Mrs,"[-0.034, 0.466, -0.318, 0.154, -0.228, 0.387, 0.011, 0.302, 0.324, 0.444]"
52,office,"[-0.349, 0.005, -0.43, 0.377, -0.244, 0.377, -0.177, -0.827, 0.318, -0.41]"
53,former,"[0.836, -0.283, 0.47, -0.186, 0.683, -0.044, 0.744, -0.037, -0.488, -0.655]"
54,section,"[0.151, -0.839, 0.292, -0.881, 0.091, -0.307, -0.192, -0.599, -0.002, 0.299]"
55,agreement,"[0.453, 0.945, 0.341, 0.124, 0.292, -0.226, -0.148, -0.702, 0.735, 0.842]"
56,performance,"[-0.534, -0.483, -0.301, -0.467, 0.807, 0.433, -0.212, -0.376, -0.107, -0.253]"
57,relate,"[0.53, 0.432, 0.805, 0.471, -0.17, 0.506, 0.433, 0.134, -0.453, 0.971]"
58,skin,"[0.497, -0.375, 0.127, -0.328, -0.041, -0.155, 0.144, -0.024, -0.908, -0.344]"
59,media,"[-0.329, 0.877, -0.656, 0.873, 0.633, 0.663, 0.736, -0.689, 0.237, 0.594]"
