id,user_id,query,searched_at
1,wind,long,stay
2,trade,avoid,which
3,space,hold,note
4,success,despite,property
5,certainly,lead,voice
6,tree,this,word
7,significant,important,grow
8,wall,some,feel
9,recent,hear,bring
10,walk,letter,ahead
11,rate,defense,suggest
12,deal,friend,film
13,how,probably,poor
14,officer,draw,night
15,true,government,because
16,well,nothing,best
17,yard,focus,over
18,tonight,serious,song
19,score,book,eye
20,industry,much,statement
21,idea,poor,mouth
22,air,occur,international
23,could,reality,voice
24,shoulder,happen,court
25,security,look,task
26,manager,ask,professor
27,thousand,last,enter
28,military,less,task
29,billion,quickly,decision
30,walk,so,free
31,hotel,certain,sea
32,citizen,help,later
33,control,can,suddenly
34,me,front,report
35,over,save,kind
36,station,specific,campaign
37,thing,its,final
38,toward,officer,soon
39,everyone,adult,stop
40,simple,worker,it
41,edge,computer,south
42,main,treatment,catch
43,medical,although,citizen
44,four,movement,growth
45,machine,message,vote
46,light,way,reflect
47,research,difficult,thousand
48,successful,two,its
49,picture,administration,common
50,young,hand,commercial
51,billion,election,peace
52,along,old,more
53,southern,finish,candidate
54,human,six,hope
55,month,vote,affect
56,game,specific,leader
57,suffer,nothing,world
58,among,community,land
59,deep,keep,toward
60,your,national,movement
61,treatment,range,exactly
62,like,man,play
63,story,you,long
64,pay,sure,benefit
65,we,for,why
66,ahead,own,discussion
67,oil,few,center
68,third,his,explain
69,rather,run,middle
70,smile,design,just
71,goal,line,like
72,prove,case,truth
73,share,green,better
74,rule,phone,increase
75,week,sit,building
76,approach,guess,new
77,image,though,region
78,natural,environment,natural
79,dinner,dark,ok
80,drive,field,green
81,key,hundred,popular
82,one,add,save
83,next,article,week
84,before,heart,matter
85,though,sort,pass
86,or,return,significant
87,company,fight,fact
88,visit,course,fish
89,reveal,most,cut
90,various,without,beat
91,effect,assume,society
92,couple,those,on
93,effect,save,operation
94,push,you,third
95,special,both,record
96,Democrat,garden,suddenly
97,morning,agreement,program
98,as,ten,within
99,assume,building,let
100,friend,away,heart
101,must,class,who
102,reality,require,hotel
103,few,financial,political
104,husband,blue,stage
105,easy,act,degree
106,national,card,nation
107,probably,soon,any
108,coach,fine,money
109,management,once,late
110,worker,family,author
111,blue,direction,against
112,read,throw,system
113,if,contain,talk
114,condition,its,either
115,share,discussion,maybe
116,wall,lose,nice
117,sister,nor,kid
118,performance,learn,institution
119,pressure,high,poor
120,body,American,student
121,chance,career,town
122,budget,film,develop
123,worry,tend,not
124,common,down,charge
125,card,protect,wish
126,section,tree,report
127,happy,prevent,western
128,discussion,door,create
129,tough,attack,contain
130,keep,audience,event
131,plant,trade,local
132,and,line,discuss
133,though,chance,child
134,very,could,while
135,no,hospital,performance
136,possible,cell,general
137,some,as,say
138,improve,west,onto
139,friend,magazine,nothing
140,good,institution,bag
141,manager,item,capital
142,card,right,beautiful
143,difference,quality,maybe
144,place,nice,similar
145,time,few,you
146,ready,range,here
147,effect,allow,ground
148,wonder,any,east
149,over,weight,agreement
150,collection,food,ever
151,fly,budget,tonight
152,fish,wait,blood
153,force,design,water
154,describe,discussion,likely
155,key,look,in
156,have,represent,player
157,this,claim,professor
158,strategy,able,prevent
159,school,may,south
160,finally,entire,language
161,section,high,economy
162,read,marriage,hear
163,wide,something,together
164,head,might,civil
165,style,behavior,system
166,garden,our,at
167,soon,whatever,throw
168,police,they,star
169,tree,store,interview
170,party,off,kitchen
171,morning,almost,scientist
172,partner,available,fund
173,Mr,prove,every
174,local,radio,PM
175,positive,thousand,training
176,evidence,wind,speak
177,worker,prevent,stage
178,easy,learn,term
179,soldier,level,expect
180,management,exactly,professor
181,adult,difficult,nearly
182,main,phone,those
183,true,chance,effort
184,teach,up,live
185,agreement,real,week
186,you,early,water
187,expert,item,paper
188,control,edge,maybe
189,society,bag,without
190,because,fire,establish
191,change,parent,future
192,whatever,player,threat
193,war,class,group
194,offer,college,affect
195,course,feeling,interest
196,seem,want,he
197,night,personal,fact
198,notice,once,close
199,home,treatment,author
200,control,animal,chance
